product_id,product_name,category,description,price,cost,stock_quantity,sku,brand,created_date,is_active
19,Versatile 24/7 solution Deluxe,Automotive,Car fast positive before look. Class learn now on with. Sign them if smile have less plant.,673.65,287.29,384,SKU-8179-WGY,"Hodges, Flores and Hurst",2025-05-16,True
20,Optimized even-keeled application Basic,Pet Supplies,"Generation main money but report question. Tonight later happy pull really within third.
Beautiful hospital condition when baby clearly born. Many themselves minute physical.",15.25,10.65,37,SKU-5695-UUZ,Tucker-Wade,2025-05-26,True
21,Reactive leadingedge knowledgebase Premium,Toys & Games,"Car smile commercial employee machine wife show. Chance expect what.
Republican expect win stuff. Claim bring year off. Employee continue none alone first gas. Large wish move building agent use.",508.84,331.94,450,SKU-7517-BEV,"Wilson, Johnson and Williamson",2025-02-01,True
22,Multi-channeled background Graphic Interface Premium,Automotive,"Political on develop very everyone against Mrs knowledge. Wish hour make owner.
Training guess challenge take. History activity general final knowledge night. Road know yeah sound eye.",373.3,236.48,360,SKU-4870-JSJ,Hansen-Ford,2024-11-22,True
23,Adaptive coherent firmware Basic,Electronics,"Buy program explain conference trade population agreement. Manage wife out gun lose.
Physical live reason build mention. Adult employee ok certainly leave really group. Evening information treatment.",614.0,348.23,283,SKU-2028-JLY,Jenkins-Mccall,2025-01-11,True
24,Extended coherent middleware Pro,Home & Garden,Somebody next ready weight suffer. Reduce sort individual trouble bring capital admit.,932.16,378.26,455,SKU-1107-YNB,Rodriguez Ltd,2025-05-19,True
25,Centralized methodical capability Premium,Sports & Outdoors,"At property senior. Turn day top continue.
Before suffer walk. Girl civil may rock drop now between official. More respond who.",743.95,307.03,107,SKU-6638-HND,Martinez-Rodriguez,2025-01-01,True
26,Virtual high-level strategy Deluxe,Food & Beverages,"Reveal bank management his lead save reach. Difficult imagine world into task thus.
Conference your man black just probably. Budget house reason within. Ask window full organization.",208.37,103.23,463,SKU-1017-VAF,Jacobs-Murphy,2025-03-03,True
27,Secured bandwidth-monitored task-force Standard,Sports & Outdoors,Should society dark product make energy gas. National weight all involve trip himself fire.,97.73,31.04,170,SKU-9545-BAS,Anderson LLC,2025-03-20,True
28,User-centric optimal algorithm Deluxe,Home & Garden,Herself into yeah in argue each. Possible or travel assume figure. College Mrs also price institution method. Entire receive onto worry help hope.,639.28,381.33,282,SKU-9639-XCW,"Davis, Rogers and Jones",2025-09-02,False
29,Phased interactive database Pro,Clothing,Prepare few sound item. Finish increase economy middle public natural thing. Reflect television officer defense while score level view.,563.53,382.08,353,SKU-2303-ZJO,Castro-Graham,2025-07-07,True
30,Automated dedicated complexity Deluxe,Pet Supplies,"Ahead smile everyone nearly. White magazine after.
Own test too imagine guy price. However style successful door.",548.31,285.68,220,SKU-6490-PRL,"Fry, Stewart and Coleman",2025-07-20,True
31,Grass-roots zero tolerance circuit Deluxe,Electronics,Resource start again whom paper success production. Real small dream. His police red total rate movement door.,47.57,31.38,107,SKU-5612-WIQ,Bell PLC,2025-08-06,True
32,Reactive user-facing Graphic Interface Deluxe,Food & Beverages,"Seven political contain. Social carry husband pick finish bank. Economic require should power.
Rate society floor long same end reach step. Cup increase consider then war.",668.92,437.24,208,SKU-0867-VPD,Reeves and Sons,2025-10-25,True
33,Future-proofed executive synergy Premium,Home & Garden,Candidate task outside yet executive quality. Congress society agreement wish dog late. Hard range leader action card.,926.2,639.52,415,SKU-6528-BSF,Jackson-Vasquez,2025-03-17,True
34,Persistent clear-thinking array Pro,Home & Garden,Item employee finish without material wind exactly. Unit executive theory party seven enough. Job close say man wear new.,882.12,524.53,170,SKU-2284-SVS,Silva Inc,2025-05-24,False
35,Re-engineered contextually-based instruction set Premium,Sports & Outdoors,"Should quality thought ago race. Hour opportunity week student.
Ball store process. Pick especially price forget analysis performance laugh.",803.41,292.18,359,SKU-2664-UYU,Martinez Group,2025-09-02,True
36,User-centric fault-tolerant software Pro,Automotive,Grow benefit happen customer. Those live none institution series specific pass. Piece behavior message wind put positive. Us money positive base.,386.24,150.24,418,SKU-4549-CYQ,Wilson Ltd,2025-05-01,False
37,Enterprise-wide hybrid analyzer Premium,Books,Theory fear onto lawyer prove perhaps. Game truth special decision back.,353.55,109.41,98,SKU-3037-UEU,Graham Ltd,2025-09-23,False
38,Public-key content-based array Pro,Sports & Outdoors,Challenge instead bring total school knowledge machine. Teacher one cut.,332.28,146.36,260,SKU-7179-ULO,"Graham, Martin and Barber",2025-05-03,False
39,Organic discrete middleware Basic,Toys & Games,Training fund own successful prevent capital fall represent. Strategy pull same somebody son suddenly.,681.43,460.44,59,SKU-7455-YBY,"Adams, Hernandez and Vaughn",2025-05-20,True
40,Synchronized bi-directional strategy Deluxe,Electronics,"Sometimes while sense window sit participant.
Among black picture that treat church factor. Seven marriage that child hair standard.",183.49,63.0,222,SKU-3286-ZHE,Gutierrez-Ortiz,2025-04-29,True
41,Programmable systemic hierarchy Deluxe,Health & Beauty,"Certainly act south want be fire.
Article service produce political total around. Woman sometimes then win information though red them.",730.16,396.1,261,SKU-2884-GCQ,"Collins, Peterson and Reid",2024-11-21,True
42,Quality-focused optimizing firmware Basic,Books,"Risk would book art health. Medical buy series walk large occur accept fund.
Not thus physical mouth other go expect size. Public research mind easy foreign old state.",388.87,156.28,362,SKU-8277-EWQ,"Wilson, Lewis and Kennedy",2025-08-13,False
43,Realigned holistic capability Basic,Books,Book hard face mission brother figure. Field magazine social central operation any. Threat democratic standard major business. Attack and loss finally laugh full.,7.67,3.42,35,SKU-4120-SUZ,"Parker, Brewer and Schneider",2024-12-14,True
44,Secured needs-based orchestration Pro,Sports & Outdoors,"Miss seek me affect probably mother while.
Early relationship thought know southern. Fly open man value future Congress agency month.",625.41,314.49,341,SKU-4610-GHY,"Willis, Vasquez and Goodwin",2025-04-02,False
45,Customizable encompassing approach Deluxe,Food & Beverages,Network assume ahead plant trial affect never. Push east never size fight image base player. Situation central music collection early.,330.22,115.88,215,SKU-1284-NGT,"Bernard, Flores and Fleming",2025-03-18,False
46,Fundamental web-enabled strategy Premium,Pet Supplies,"Early work game least outside. Trial card two. Live top pull including time reflect several Mrs.
All story public public good spend still. Hit stuff speech worker by have.",679.24,358.4,207,SKU-9303-UMD,Carroll-Snyder,2025-06-02,True
47,Switchable user-facing open system Premium,Health & Beauty,Compare open second camera value talk thing. Court question yeah realize mouth. Quite third ability interview pull. Take follow such.,308.04,189.23,310,SKU-1332-KJC,"Garrett, Johnson and Reynolds",2024-11-21,True
48,Self-enabling full-range extranet Standard,Books,"List when strategy start. Some want simply people shake personal often.
True help three really. Artist sort area particularly.",468.19,236.19,406,SKU-0785-SGD,Smith Ltd,2024-12-07,True
49,Ergonomic object-oriented capacity Deluxe,Food & Beverages,"Green loss per control case. Art find job. Find those simply challenge final garden.
Military price certain. Medical strong teach instead crime. Policy cut attention country little.",660.89,373.76,317,SKU-6362-ALA,Howard PLC,2024-12-25,True
50,Implemented leadingedge core Premium,Sports & Outdoors,Tree growth wish current exist despite energy company. Early cultural compare energy big story case. Full decision lay hard. Produce wait with young think there.,98.82,38.53,101,SKU-9384-ZEK,Brown LLC,2025-09-28,True
51,Profound optimal matrix Premium,Automotive,"Six social past cold. Seem population meeting material less focus.
Reason resource manager environmental husband TV once. Debate thus later. How fill thousand number very.",30.27,16.48,393,SKU-5148-QRU,Hartman and Sons,2024-12-19,True
52,Compatible high-level alliance Basic,Books,Free push economic seat shoulder. Course page case talk respond. Treatment across federal state situation identify if.,458.67,269.39,196,SKU-3778-ALE,"Russo, Torres and Rojas",2025-05-14,False
53,Switchable heuristic Graphical User Interface Premium,Electronics,International sell several real federal only. Size two child well form picture owner.,403.24,264.95,440,SKU-6212-RNP,"Jones, Friedman and Glenn",2024-12-30,True
54,Expanded fault-tolerant Internet solution Premium,Home & Garden,Page voice onto maybe. Every account central ask human space moment. These least office say explain thing lead.,779.74,484.72,356,SKU-2484-VCW,"Bowen, Robinson and Snyder",2025-11-11,False
55,Reactive bottom-line hub Premium,Clothing,"Mean single improve close. Media left available reason see.
Second talk however action boy true. Prove less leave bar prevent require. Cell star success color adult beyond.",55.91,26.98,410,SKU-3708-UVW,"Prince, Myers and Parker",2024-12-02,False
56,Adaptive actuating throughput Basic,Pet Supplies,"Up hear draw before instead. Front court protect. When benefit structure professional right.
Mention spring follow phone person various.",669.56,285.85,386,SKU-9241-TKU,"Price, Middleton and Wise",2024-12-31,False
57,Enhanced scalable task-force Basic,Health & Beauty,Attack adult treatment large memory score me. Discussion pattern to. Door investment during bag case.,614.97,388.8,280,SKU-8033-TMQ,White-Soto,2024-12-06,False
58,Pre-emptive asymmetric core Standard,Automotive,"Voice by community nature.
Medical international level clearly culture. Computer eat experience large player even.",897.81,362.42,126,SKU-2467-JOJ,Hart-Castillo,2025-03-14,True
59,Universal methodical customer loyalty Basic,Automotive,"Above technology room hear identify. Wait wife health majority political open.
Yeah buy usually. Create job effort tree. Meeting major read recent prepare unit.",767.21,422.5,140,SKU-9920-DYC,"Dawson, Cruz and Mccarthy",2025-11-04,False
60,Configurable multi-state core Deluxe,Books,"Stop education few whose. Only safe sell under thank body. Since general central see us huge final.
Ability attorney recent modern pressure run color. Control care main me book note.",83.01,33.93,163,SKU-1415-ASH,Washington-Hodges,2024-11-16,True
61,Future-proofed web-enabled ability Premium,Health & Beauty,Best mission account. Mind while entire magazine series page from radio. Yourself stage wait professor her arm. Their south able that I structure.,143.53,82.9,361,SKU-3050-ULB,"Nguyen, Wallace and Lawson",2025-04-08,True
62,Seamless attitude-oriented hardware Standard,Toys & Games,"Would tax toward safe family crime century. Then size respond all marriage beautiful strategy. Would level to western lot music during.
Black year ahead upon. Total short detail election live today.",69.83,36.11,212,SKU-6863-HID,Miller-Davis,2025-08-11,True
63,Ergonomic value-added budgetary management Standard,Health & Beauty,"Camera finish herself say financial operation. Suggest woman floor half quickly. Mind own develop house.
Firm staff father despite quite challenge exist. Out final wrong. Event summer off piece.",211.58,140.05,299,SKU-6420-RMK,Gregory-Mooney,2025-08-17,True
64,Object-based asynchronous moderator Basic,Health & Beauty,"Recent crime task hour capital. Tend approach various fight pressure officer kind lot.
Design security same across rise. Big size teach heavy work quickly collection.",857.58,420.89,482,SKU-7492-UXM,"Esparza, Lambert and Davis",2025-05-01,True
65,Streamlined homogeneous focus group Standard,Health & Beauty,Happen build bar majority protect meeting. Only would look. Some Congress machine popular. Fear by foot research television Mr.,302.81,156.03,376,SKU-5102-SGU,Miller LLC,2025-09-20,True
66,Automated attitude-oriented capability Deluxe,Health & Beauty,Hair name institution war a. Animal watch toward fall move. Officer reason mission worry.,491.29,242.82,199,SKU-2831-UXI,"Terry, Lee and Watson",2025-07-11,True
67,Profound real-time complexity Standard,Home & Garden,"First skin her who. Back by body nature at. Guy four event than.
Act help why her bit. Compare rock fill start.",670.85,426.8,470,SKU-2269-XIB,"Fowler, Wood and Waters",2025-07-19,True
68,Operative tertiary knowledgebase Basic,Electronics,"Worry sometimes maybe every into walk. Figure teach water image fine.
Baby drive behavior offer. Sea never manage them.",980.83,650.07,303,SKU-8909-OFV,"Mckee, Thompson and Richardson",2024-12-31,True
69,Multi-channeled actuating interface Standard,Home & Garden,Color wide full quickly story surface. Face low enter able. Notice design fight value poor stay along leg.,89.43,57.84,93,SKU-7225-XNA,Stephenson-Fletcher,2024-12-23,True
70,Horizontal 6thgeneration challenge Deluxe,Books,"Season too civil current look professor. Budget major many race camera. Maybe type successful home body blue.
Choose matter should door.",264.59,127.5,172,SKU-1892-GSU,"Hernandez, Martinez and Morales",2025-02-21,False
71,Ergonomic client-server interface Standard,Sports & Outdoors,"Current ten herself modern record woman develop international.
Interview appear body hair wall represent east. Consider a produce.",282.58,179.15,240,SKU-1129-DBS,"Roth, Lee and Griffin",2024-12-19,True
72,Quality-focused regional Graphical User Interface Pro,Toys & Games,"Writer dark result analysis court nearly education. Window thus large response treat attack industry.
Cold ever whose. Animal not some really scientist. Manager mouth message avoid just meeting.",750.52,292.47,35,SKU-4240-UHG,"Wilson, Wong and Chen",2025-11-03,True
73,Inverse attitude-oriented strategy Premium,Books,Reveal impact particularly foot arm. Station despite whole. Eight administration price test.,755.7,480.39,318,SKU-4042-FMV,"Lopez, Thomas and Simmons",2025-04-28,True
74,Stand-alone impactful attitude Standard,Clothing,Risk space owner help. Body add store. Car show environment.,243.1,127.77,111,SKU-4361-PFD,Garcia LLC,2025-03-23,False
75,Seamless full-range capability Deluxe,Home & Garden,Time page concern most. Consider interesting throw reach person expert then even. Product usually specific represent baby able value.,701.26,380.33,493,SKU-6557-NPW,Guzman-Fields,2025-01-02,True
76,Streamlined dynamic info-mediaries Premium,Sports & Outdoors,"Market move mouth start his ok instead. Since specific despite beautiful gun data sure. Next whatever TV arrive glass support.
Leave structure necessary use inside. Still argue case while region.",779.12,267.42,13,SKU-0962-YFP,"Taylor, Rose and Rush",2025-05-04,True
77,Up-sized global intranet Standard,Health & Beauty,"Born art politics page community.
How interest way. Never stop try maybe remember interest church.
Help week sea hundred argue hot state. Painting baby realize local present if herself.",578.33,391.29,101,SKU-0342-RDC,Harper LLC,2025-01-20,True
78,Exclusive scalable alliance Premium,Clothing,"Be now and worry low. Fire want across.
When matter fire hospital green. Reflect best imagine scientist. Maybe simple age somebody.",594.54,344.17,154,SKU-9606-HGT,"Jones, Hernandez and Burton",2025-05-14,True
79,Advanced client-server throughput Basic,Electronics,"Test something time material lawyer college fast. Evidence guy become condition.
Worry without shake kind under. Will major guy expert. Tax true can happen suddenly weight.",797.44,349.98,219,SKU-9613-MOV,Bailey Group,2025-07-06,True
80,Persistent bi-directional artificial intelligence Deluxe,Electronics,"True two should current. Ask garden page defense scientist boy.
Nation we certainly. Floor all over herself view. Smile without degree deep age serve.",74.53,47.69,421,SKU-2659-MAR,"Gonzalez, Sharp and Lane",2025-01-04,False
81,Synchronized upward-trending synergy Deluxe,Automotive,"Character learn challenge. Box wide image minute about late. Plant police official already.
Recent similar over democratic decide course. Western have hair few film standard by.",110.9,64.65,222,SKU-1109-NDP,"Walton, Ho and Garcia",2025-04-24,True
82,Reduced 5thgeneration secured line Deluxe,Pet Supplies,"Deep since necessary boy task wear. Whose trial include star region scientist.
Site medical environment probably film total.",735.38,458.35,275,SKU-6265-QFN,Garcia and Sons,2025-05-16,False
83,Self-enabling object-oriented toolset Basic,Sports & Outdoors,"True study city follow behavior agent activity show. Agreement remain turn bad. Agent safe work play sing cost.
Create subject risk southern her. Process ever various physical point.",468.07,200.77,125,SKU-2990-DKL,Cooley-Greene,2024-11-14,True
84,Programmable user-facing extranet Standard,Books,"Paper movie military set describe. Boy describe foreign detail road vote.
Loss well give necessary family. Job watch two economic cup suffer response.",283.24,170.0,291,SKU-0849-NJT,"Clements, Moreno and Sanders",2024-12-24,False
85,Inverse interactive utilization Standard,Toys & Games,"Early Democrat he certain fire act. Response degree nothing.
No history own money bill. Respond watch space provide off. Radio itself spend cup anyone management.
Instead buy commercial force him.",340.37,126.87,108,SKU-6445-YLM,Hawkins LLC,2025-05-12,True
86,Business-focused hybrid framework Deluxe,Sports & Outdoors,"Support whose building hear peace ahead answer. Catch year technology. Difficult because right speech staff Mr.
Employee size book.
Enough reach social here. Understand on build floor.",799.04,521.08,359,SKU-1583-VUX,Neal Inc,2025-11-03,True
87,Centralized didactic access Basic,Books,"Stand could bit decade opportunity month teach. Remain pretty summer black candidate.
Window test message sister could everyone. Rather week officer bill. Then seat drive thus cost agreement product.",558.45,186.66,368,SKU-0313-DBB,"Adams, Jones and Garcia",2025-02-03,False
88,Secured tangible structure Premium,Automotive,Hotel detail station reality manager commercial. Girl explain others safe behind. Traditional performance school system reach color race.,491.64,274.51,251,SKU-9579-APH,Rodriguez-Fuentes,2025-06-08,False
89,Implemented discrete moderator Pro,Sports & Outdoors,Sense simple beyond sound. Laugh same wrong either main hair. Still feeling free.,794.17,308.65,354,SKU-8782-IVL,Myers-Butler,2025-11-11,True
90,Integrated content-based analyzer Basic,Toys & Games,Reduce street but somebody note society get. Wide material rate letter. Model face newspaper class. Explain son administration American executive or apply.,310.36,151.86,271,SKU-8214-EXG,Richards-Miller,2025-02-01,True
91,Phased heuristic encryption Basic,Toys & Games,Human tough throw turn others community. Quickly follow official raise current career. Current figure father until leave contain site.,428.94,189.04,232,SKU-9894-BYM,Powell Inc,2025-05-01,True
92,Virtual multi-state knowledgebase Premium,Clothing,"Area stop practice four.
Not real ten building once. School apply day century science manager difference.
Pick rest view south perhaps. Boy a page building best.",310.77,182.89,161,SKU-8497-VTD,Thomas-Smith,2025-01-03,True
93,User-friendly stable encoding Premium,Books,"Score national live face property where manage. Hospital recently blue indicate interesting.
Lead nor action few population.",744.41,287.75,247,SKU-7679-VFS,"Pennington, Rowe and Fox",2024-12-30,True
94,Inverse optimizing paradigm Basic,Pet Supplies,Pay identify and system city benefit blood various. Food discuss sign true somebody black thing. Sense information ask partner boy suggest.,726.23,300.08,51,SKU-3326-QZZ,Miller Inc,2025-07-01,True
95,Synchronized bandwidth-monitored database Deluxe,Home & Garden,"Throw growth impact national.
Continue role treat politics many strategy. Still may ground tonight table soon keep.",300.46,126.47,362,SKU-6908-WDS,Giles-Mercer,2025-07-10,True
96,Automated global instruction set Pro,Food & Beverages,"Free share cause natural safe. Dog authority way toward.
Wonder wear our partner ball necessary.
Rich bit market different go. Field sure will again area similar specific.",278.66,116.16,483,SKU-8900-XHB,Brown Group,2025-01-18,True
97,Balanced foreground hardware Standard,Clothing,Your can huge price prevent. Economic myself manager same. Today teach kitchen few happen necessary. Money environment recently me approach.,640.03,415.44,293,SKU-4104-TMP,Roy Group,2025-04-24,True
98,Face-to-face demand-driven implementation Standard,Toys & Games,Mouth produce all several visit travel. Two traditional special opportunity serious game.,472.57,176.62,26,SKU-9454-VIZ,"Patrick, Franklin and Martinez",2025-06-09,True
99,Inverse empowering conglomeration Standard,Clothing,Admit across already grow point news impact. Voice everybody particular finish ask conference she everybody. Camera piece chair peace anyone boy although.,941.41,592.0,205,SKU-5956-CUN,Thomas-Nguyen,2025-08-28,False
100,Managed incremental projection Pro,Home & Garden,"Wall family all happy fact change option. Participant space member sit. Situation require vote her old price change.
When yeah not young. Nature individual run summer month anything line modern.",79.63,28.64,288,SKU-7639-ERH,Craig-Wade,2025-06-22,True
